County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American,Other,Hispanic,Male,Female,Total
,,,,,,,,,Indian,,,,,
PERSON,"10,988","6,582",3,3,100,"7,865","17,143","6,887",115,"1,396",332,"11,335","13,563","25,541"
PITT,"51,452","30,301",49,46,728,"35,554","66,837","41,175",251,"9,867","2,591","49,812","63,223","118,130"
POLK,"3,895","5,463",9,8,77,"5,753","13,891",650,8,656,195,"6,868","8,092","15,205"
RANDOLPH,"16,705","44,532",16,34,497,"25,284","74,836","5,541",265,"6,426","2,815","39,995","44,839","87,068"
RICHMOND,"14,140","5,834",5,15,83,"7,704","16,761","9,229",389,"1,402",376,"12,413","14,879","27,781"
ROBESON,"43,009","9,441",9,37,192,"19,286","20,893","20,185","25,195","5,701","1,487","31,598","39,608","71,974"
ROCKINGHAM,"19,964","20,754",6,21,249,"16,409","42,509","11,180",104,"3,610",847,"26,198","31,205","57,403"
ROWAN,"24,540","37,116",28,36,426,"27,487","67,670","15,272",170,"6,521","1,899","40,215","46,231","89,633"
RUTHERFORD,"12,376","16,869",10,15,204,"13,251","35,987","4,150",63,"2,525",599,"19,183","22,148","42,725"
SAMPSON,"14,212","13,359",3,11,119,"7,534","21,257","10,423",511,"3,047","1,827","15,525","18,955","35,238"
SCOTLAND,"11,198","3,540",5,15,64,"5,834","9,579","8,341","1,499","1,237",177,"8,744","11,299","20,656"
STANLY,"9,747","18,312",9,19,149,"12,050","32,983","4,289",84,"2,930",399,"18,190","20,483","40,286"
STOKES,"6,501","14,643",7,10,159,"8,003","26,599","1,198",51,"1,475",279,"13,873","15,351","29,323"
SURRY,"11,640","18,909",7,9,127,"12,724","38,612","1,693",56,"3,055","1,287","19,490","22,641","43,416"
SWAIN,"3,378","2,576",3,0,39,"3,279","7,384",109,"1,455",327,52,"4,335","4,868","9,275"
TRANSYLVANIA,"6,157","8,019",3,4,115,"10,511","22,588",827,44,"1,350",183,"11,130","12,881","24,809"
TYRRELL,"1,173",356,0,1,9,676,"1,413",684,7,111,34,"1,011","1,165","2,215"
UNION,"37,703","63,239",36,47,804,"51,826","116,817","18,534",400,"17,904","6,126","69,709","77,839","153,655"
VANCE,"18,114","4,120",4,12,71,"5,749","11,527","14,824",52,"1,667",527,"12,024","15,281","28,070"
WAKE,"269,214","182,400",211,250,"5,312","276,476","472,411","141,075","1,864","118,513","26,507","321,752","370,093","733,863"
WARREN,"8,542","1,821",1,2,39,"2,422","5,095","6,681",541,510,66,"5,705","6,855","12,827"
WASHINGTON,"5,257","1,078",0,0,21,"1,704","3,663","4,021",10,366,46,"3,493","4,422","8,060"
WATAUGA,"11,888","13,367",16,11,500,"19,443","40,911","1,017",75,"3,222","1,207","20,495","23,720","45,225"
WAYNE,"29,396","23,113",16,28,353,"18,309","40,581","23,826",134,"6,674","2,163","30,774","37,429","71,215"
WILKES,"8,412","21,198",4,7,143,"10,639","37,185","1,590",43,"1,585",683,"18,651","20,788","40,403"
WILSON,"27,248","12,951",4,29,171,"13,473","26,930","22,489",94,"4,363","1,259","23,076","29,123","53,876"
YADKIN,"3,520","12,922",8,6,95,"6,397","20,895",703,27,"1,323",686,"10,657","11,740","22,948"
YANCEY,"4,525","4,782",2,3,51,"3,946","12,668",80,18,543,76,"6,180","6,775","13,309"
Totals,"2,492,226","2,032,715","1,789","2,386","38,846","2,208,437","4,564,791","1,467,104","52,530","691,974","202,674","2,975,778","3,534,768","6,776,399"
